0.571	0.472	0.656	0.499	0.588	0.586	0.473	0.586	0.683	0.577	0.552	0.647	0.747
0.564	0.478	0.673	0.511	0.569	0.567	0.456	0.596	0.677	0.605	0.524	0.652	0.716
0.580	0.455	0.655	0.539	0.588	0.612	0.486	0.603	0.683	0.587	0.556	0.656	0.715
0.599	0.454	0.659	0.494	0.591	0.597	0.470	0.595	0.680	0.599	0.554	0.645	0.723
0.592	0.448	0.634	0.528	0.596	0.574	0.450	0.597	0.675	0.585	0.548	0.640	0.704
0.586	0.449	0.639	0.533	0.563	0.584	0.499	0.599	0.674	0.572	0.533	0.647	0.705
0.558	0.450	0.621	0.538	0.569	0.578	0.489	0.606	0.683	0.580	0.536	0.652	0.729
0.531	0.505	0.686	0.598	0.539	0.623	0.478	0.621	0.691	0.587	0.534	0.642	0.682
0.614	0.446	0.627	0.485	0.546	0.579	0.480	0.581	0.683	0.581	0.525	0.637	0.734
0.552	0.504	0.687	0.583	0.523	0.607	0.485	0.633	0.682	0.584	0.532	0.631	0.702
